ਏ	A 
ਹਵੀ	HV
ਹਦੇਵ	HW
ਹਐਕਸ	HX
ਹਯ	HY
ਹਜ਼	HZ
ਆਈਏ	IA
ਆਈਬੀ	IB
ਆਈਸੀ	IC
ਆਈਡੀ	ID
ਆਈਈ	IE
ਆਈਫ਼	IF
ਆਈਜੀ	IG
ਆਈਹ	IH
ਆਈਆਈ	II
ਆਈਜੇ	IJ
ਆਈਕੇ	IK
ਆਈਲ	IL
ਆਈਮ	IM
ਆਈਨ	IN
ਆਈਓ	IO
ਆਈਪ	IP
ਆਈਕੇ	IQ
ਆਈਰ	IR
ਆਈਸ	IS
ਆਈਟੀ	IT
ਆਈਉ	IU
ਆਈਵੀ	IV
ਆਈਦੇਵ	IW
ਆਈਐਕਸ	IX
ਆਈਯ	IY
ਆਈਜ਼	IZ
ਜੇਏ	JA
ਜੇਬੀ	JB
ਜੇਸੀ	JC
ਜੇਡੀ	JD
ਜੇਈ	JE
ਜੇਫ਼	JF
ਜੇਜੀ	JG
ਜੇਹ	JH
ਜੇਆਈ	JI
ਜੇਜੇ	JJ
ਜੇਕੇ	JK
ਜੇਲ	JL
ਜੇਮ	JM
ਜੇਨ	JN
ਜੇਓ	JO
ਜੇਪ	JP
ਜੇਕੇ	JQ
ਜੇਰ	JR
ਜੇਸ	JS
ਜੇਟੀ	JT
ਜੇਉ	JU
ਜੇਵੀ	JV
ਜੇਦੇਵ	JW
ਜੇਐਕਸ	JX
ਜੇਯ	JY
ਜੇਜ਼	JZ
ਕੇਏ	KA
ਕੇਬੀ	KB
ਕੇਸੀ	KC
ਕੇਡੀ	KD
ਕੇਈ	KE
ਕੇਫ਼	KF
ਕੇਜੀ	KG
ਕੇਹ	KH
ਕੇਆਈ	KI
ਕੇਜੇ	KJ
ਕੇਕੇ	KK
ਕੇਲ	KL
ਕੇਮ	KM
ਕੇਨ	KN
ਕੇਓ	KO
ਕੇਪ	KP
ਕੇਕੇ	KQ
ਕੇਰ	KR
ਕੇਸ	KS
ਕੇਟੀ	KT
ਕੇਉ	KU
ਕੇਵੀ	KV
ਕੇਦੇਵ	KW
ਕੇਐਕਸ	KX
ਕੇਯ	KY
ਕੇਜ਼	KZ
ਲਏ	LA
ਲਬੀ	LB
ਲਸੀ	LC
ਲਡੀ	LD
ਲਈ	LE
ਲਫ਼	LF
ਲਜੀ	LG
ਲਹ	LH
ਲਆਈ	LI
ਲਜੇ	LJ
ਲਕੇ	LK
ਲਲ	LL
ਲਮ	LM
ਲਨ	LN
ਲਓ	LO
ਲਪ	LP
ਲਕੇ	LQ
ਲਰ	LR
ਲਸ	LS
ਲਟੀ	LT
ਲਉ	LU
ਲਵੀ	LV
ਲਦੇਵ	LW
ਲਐਕਸ	LX
ਲਯ	LY
ਲਜ਼	LZ
ਮਏ	MA
ਮਬੀ	MB
ਮਸੀ	MC
ਮਡੀ	MD
ਮਈ	ME
ਮਫ਼	MF
ਮਜੀ	MG
ਮਹ	MH
ਐਚ	MH
ਮਆਈ	MI
ਮਜੇ	MJ
ਮਕੇ	MK
ਮਲ	ML
ਐੱਮਐੱਮ	MM
ਮਨ	MN
ਮਓ	MO
ਮਪ	MP
ਮਕੇ	MQ
ਮਰ	MR
ਮਸ	MS
ਮਟੀ	MT
ਮਉ	MU
ਮਵੀ	MV
ਮਦੇਵ	MW
ਮਐਕਸ	MX
ਮਯ	MY
ਮਜ਼	MZ
ਨਏ	NA
ਨਬੀ	NB
ਨਸੀ	NC
ਨਡੀ	ND
ਨਈ	NE
ਨਫ਼	NF
ਨਜੀ	NG
ਨਹ	NH
ਨਆਈ	NI
ਨਜੇ	NJ
ਨਕੇ	NK
ਨਲ	NL
ਨਮ	NM
ਨਨ	NN
ਨਓ	NO
ਨਪ	NP
ਨਕੇ	NQ
ਨਰ	NR
ਨਸ	NS
ਨਟੀ	NT
ਨਉ	NU
ਨਵੀ	NV
ਨਦੇਵ	NW
ਨਐਕਸ	NX
ਨਯ	NY
ਨਜ਼	NZ
ਓਏ	OA
ਓਬੀ	OB
ਓਸੀ	OC
ਓਡੀ	OD
ਓਈ	OE
ਓਫ਼	OF
ਓਜੀ	OG
ਓਹ	OH
ਓਆਈ	OI
ਓਜੇ	OJ
ਓਕੇ	OK
ਓਲ	OL
ਓਮ	OM
ਓਨ	ON
ਓਓ	OO
ਓਪ	OP
ਓਕੇ	OQ
ਓਰ	OR
ਓਸ	OS
ਓਟੀ	OT
ਓਉ	OU
ਓਵੀ	OV
ਓਦੇਵ	OW
ਓਐਕਸ	OX
ਓਯ	OY
ਓਜ਼	OZ
ਪਏ	PA
ਪਬੀ	PB
ਪਸੀ	PC
ਪਡੀ	PD
ਪਈ	PE
ਪਫ਼	PF
ਪਜੀ	PG
ਪਹ	PH
ਪਆਈ	PI
ਪਜੇ	PJ
ਪਕੇ	PK
ਪਲ	PL
ਪਮ	PM
ਪਨ	PN
ਪਓ	PO
ਪਪ	PP
ਪਕੇ	PQ
ਪਰ	PR
ਪਸ	PS
ਪਟੀ	PT
ਪਉ	PU
ਪਵੀ	PV
ਪਦੇਵ	PW
ਪਐਕਸ	PX
ਪਯ	PY
ਪਜ਼	PZ
ਕੇਏ	QA
ਕੇਬੀ	QB
ਕੇਸੀ	QC
ਕੇਡੀ	QD
ਕੇਈ	QE
ਕੇਫ਼	QF
ਕੇਜੀ	QG
ਕੇਹ	QH
ਕੇਆਈ	QI
ਕੇਜੇ	QJ
ਕੇਕੇ	QK
ਕੇਲ	QL
ਕੇਮ	QM
ਕੇਨ	QN
ਕੇਓ	QO
ਕੇਪ	QP
ਕੇਕੇ	QQ
ਕੇਰ	QR
ਕੇਸ	QS
ਕੇਟੀ	QT
ਕੇਉ	QU
ਕੇਵੀ	QV
ਕੇਦੇਵ	QW
ਕੇਐਕਸ	QX
ਕੇਯ	QY
ਕੇਜ਼	QZ
ਰਏ	RA
ਰਬੀ	RB
ਰਸੀ	RC
ਰਡੀ	RD
ਰਈ	RE
ਰਫ਼	RF
ਰਜੀ	RG
ਰਹ	RH
ਰਆਈ	RI
ਰਜੇ	RJ
ਰਕੇ	RK
ਰਲ	RL
ਰਮ	RM
ਰਨ	RN
ਰਓ	RO
ਰਪ	RP
ਰਕੇ	RQ
ਰਰ	RR
ਰਸ	RS
ਰਟੀ	RT
ਰਉ	RU
ਰਵੀ	RV
ਰਦੇਵ	RW
ਰਐਕਸ	RX
ਰਯ	RY
ਰਜ਼	RZ
ਸਏ	SA
ਸਬੀ	SB
ਸਸੀ	SC
ਸਡੀ	SD
ਸਈ	SE
ਸਫ਼	SF
ਸਜੀ	SG
ਸਹ	SH
ਸਆਈ	SI
ਸਜੇ	SJ
ਸਕੇ	SK
ਸਲ	SL
ਸਮ	SM
ਸਨ	SN
ਸਓ	SO
ਸਪ	SP
ਸਕੇ	SQ
ਸਰ	SR
ਸਸ	SS
ਸਟੀ	ST
ਸਉ	SU
ਸਵੀ	SV
ਸਦੇਵ	SW
ਸਐਕਸ	SX
ਸਯ	SY
ਸਜ਼	SZ
ਟੀਏ	TA
ਟੀਬੀ	TB
ਟੀਸੀ	TC
ਟੀਡੀ	TD
ਟੀਈ	TE
ਟੀਫ਼	TF
ਟੀਜੀ	TG
ਟੀਹ	TH
ਟੀਆਈ	TI
ਟੀਜੇ	TJ
ਟੀਕੇ	TK
ਟੀਲ	TL
ਟੀਮ	TM
ਟੀਨ	TN
ਟੀਓ	TO
ਟੀਪ	TP
ਟੀਕੇ	TQ
ਟੀਰ	TR
ਟੀਸ	TS
ਟੀਟੀ	TT
ਟੀਉ	TU
ਟੀਵੀ	TV
ਟੀਦੇਵ	TW
ਟੀਐਕਸ	TX
ਟੀਯ	TY
ਟੀਜ਼	TZ
ਉਏ	UA
ਉਬੀ	UB
ਉਸੀ	UC
ਉਡੀ	UD
ਉਈ	UE
ਉਫ਼	UF
ਉਜੀ	UG
ਉਹ	UH
ਉਆਈ	UI
ਉਜੇ	UJ
ਉਕੇ	UK
ਉਲ	UL
ਉਮ	UM
ਉਨ	UN
ਉਓ	UO
ਉਪ	UP
ਉਕੇ	UQ
ਉਰ	UR
ਉਸ	US
ਉਟੀ	UT
ਉਉ	UU
ਉਵੀ	UV
ਉਦੇਵ	UW
ਉਐਕਸ	UX
ਉਯ	UY
ਉਜ਼	UZ
ਵੀਏ	VA
ਵੀਬੀ	VB
ਵੀਸੀ	VC
ਵੀਡੀ	VD
ਵੀਈ	VE
ਵੀਫ਼	VF
ਵੀਜੀ	VG
ਵੀਹ	VH
ਵੀਆਈ	VI
ਵੀਜੇ	VJ
ਵੀਕੇ	VK
ਵੀਲ	VL
ਵੀਮ	VM
ਵੀਨ	VN
ਵੀਓ	VO
ਵੀਪ	VP
ਵੀਕੇ	VQ
ਵੀਰ	VR
ਵੀਸ	VS
ਵੀਟੀ	VT
ਵੀਉ	VU
ਵੀਵੀ	VV
ਵੀਦੇਵ	VW
ਵੀਐਕਸ	VX
ਵੀਯ	VY
ਵੀਜ਼	VZ
ਦੇਵਏ	WA
ਦੇਵਬੀ	WB
ਦੇਵਸੀ	WC
ਦੇਵਡੀ	WD
ਦੇਵਈ	WE
ਦੇਵਫ਼	WF
ਦੇਵਜੀ	WG
ਦੇਵਹ	WH
ਦੇਵਆਈ	WI
ਦੇਵਜੇ	WJ
ਦੇਵਕੇ	WK
ਦੇਵਲ	WL
ਦੇਵਮ	WM
ਦੇਵਨ	WN
ਦੇਵਓ	WO
ਦੇਵਪ	WP
ਦੇਵਕੇ	WQ
ਦੇਵਰ	WR
ਦੇਵਸ	WS
ਦੇਵਟੀ	WT
ਦੇਵਉ	WU
ਦੇਵਵੀ	WV
ਦੇਵਦੇਵ	WW
ਦੇਵਐਕਸ	WX
ਦੇਵਯ	WY
ਦੇਵਜ਼	WZ
ਐਕਸਏ	XA
ਐਕਸਬੀ	XB
ਐਕਸਸੀ	XC
ਐਕਸਡੀ	XD
ਐਕਸਈ	XE
ਐਕਸਫ਼	XF
ਐਕਸਜੀ	XG
ਐਕਸਹ	XH
ਐਕਸਆਈ	XI
ਐਕਸਜੇ	XJ
ਐਕਸਕੇ	XK
ਐਕਸਲ	XL
ਐਕਸਮ	XM
ਐਕਸਨ	XN
ਐਕਸਓ	XO
ਐਕਸਪ	XP
ਐਕਸਕੇ	XQ
ਐਕਸਰ	XR
ਐਕਸਸ	XS
ਐਕਸਟੀ	XT
ਐਕਸਉ	XU
ਐਕਸਵੀ	XV
ਐਕਸਦੇਵ	XW
ਐਕਸਐਕਸ	XX
ਐਕਸਯ	XY
ਐਕਸਜ਼	XZ
ਯਏ	YA
ਯਬੀ	YB
ਯਸੀ	YC
ਯਡੀ	YD
ਯਈ	YE
ਯਫ਼	YF
ਯਜੀ	YG
ਯਹ	YH
ਯਆਈ	YI
ਯਜੇ	YJ
ਯਕੇ	YK
ਯਲ	YL
ਯਮ	YM
ਯਨ	YN
ਯਓ	YO
ਯਪ	YP
ਯਕੇ	YQ
ਯਰ	YR
ਯਸ	YS
ਯਟੀ	YT
ਯਉ	YU
ਯਵੀ	YV
ਯਦੇਵ	YW
ਯਐਕਸ	YX
ਯਯ	YY
ਯਜ਼	YZ
ਜ਼ਏ	ZA
ਜ਼ਬੀ	ZB
ਜ਼ਸੀ	ZC
ਜ਼ਡੀ	ZD
ਜ਼ਈ	ZE
ਜ਼ਫ਼	ZF
ਜ਼ਜੀ	ZG
ਜ਼ਹ	ZH
ਜ਼ਆਈ	ZI
ਜ਼ਜੇ	ZJ
ਜ਼ਕੇ	ZK
ਜ਼ਲ	ZL
ਜ਼ਮ	ZM
ਜ਼ਨ	ZN
ਜ਼ਓ	ZO
ਜ਼ਪ	ZP
ਜ਼ਕੇ	ZQ
ਜ਼ਰ	ZR
ਜ਼ਸ	ZS
ਜ਼ਟੀ	ZT
ਜ਼ਉ	ZU
ਜ਼ਵੀ	ZV
ਜ਼ਦੇਵ	ZW
ਜ਼ਐਕਸ	ZX
ਜ਼ਯ	ZY
ਜ਼ਜ਼	ZZ
